Type 1,Type 2,Type 3
9.859154929577464,90.14084507042254,0.0
51.162790697674424,44.18604651162791,4.651162790697675
36.19631901840491,58.89570552147239,4.9079754601226995
51.162790697674424,44.18604651162791,4.651162790697675
57.446808510638306,35.1063829787234,7.446808510638298
51.85185185185185,43.518518518518526,4.62962962962963
51.8677281077771,43.417023882424985,4.715248009797918
57.758620689655174,34.48275862068966,7.758620689655173
56.94444444444444,36.111111111111114,6.944444444444445
51.85185185185185,43.518518518518526,4.62962962962963
51.36546184738956,36.40014603870026,12.234392113910186
35.55555555555556,53.333333333333336,11.11111111111111
71.60485021398003,22.831669044222537,5.563480741797433
59.015751116683646,33.542303372254004,7.441945511062352
61.76899223107352,30.97270466026013,7.258303108666353
9.859154929577464,90.14084507042254,0.0
64.13645518630413,29.720543806646525,6.143001007049345
50.0,45.3125,4.6875
40.0,60.0,0.0
9.859154929577464,90.14084507042254,0.0
35.41666666666667,53.125,11.458333333333332
60.83183975507881,30.831301297682323,8.336858947238868
50.41336851363236,45.45294635004397,4.133685136323659
38.53211009174312,50.45871559633027,11.009174311926607
44.44444444444444,52.77777777777778,2.7777777777777777
65.51928262919033,22.650237881212863,11.830479489596808
44.44444444444444,52.77777777777778,2.7777777777777777
51.162790697674424,44.18604651162791,4.651162790697675
51.18770377270611,44.154634373544475,4.657661853749418
44.44444444444444,52.77777777777778,2.7777777777777777
48.15766923736076,48.41473864610112,3.4275921165381322
68.80411753084401,25.740699108231656,5.455183360924332
44.44444444444444,52.77777777777778,2.7777777777777777
58.31715210355986,26.81409564904711,14.868752247393024
65.07202834912565,22.43740852014483,12.490563130729528
46.29695885509839,42.82647584973166,10.876565295169947
51.125,44.875,4.0
53.15161839863713,41.396933560477,5.45144804088586
67.08482212210657,26.359328879913,6.555848997980426
64.67760534615225,22.1584672881615,13.163927365686263
9.859154929577464,90.14084507042254,0.0
47.685551163812036,41.598594642072904,10.715854194115064
44.44444444444444,52.77777777777778,2.7777777777777777
49.62550078383557,46.6643441909075,3.710155025256924
44.44444444444444,52.77777777777778,2.7777777777777777
61.070922514728906,33.93989111790589,4.989186367365202
51.10310670868978,44.60453249287107,4.292360798439142
44.31818181818182,44.31818181818182,11.363636363636363
44.31818181818182,44.31818181818182,11.363636363636363
44.31818181818182,44.31818181818182,11.363636363636363
44.31818181818182,44.31818181818182,11.363636363636363
44.31818181818182,44.31818181818182,11.363636363636363
44.31818181818182,44.31818181818182,11.363636363636363
51.162790697674424,44.18604651162791,4.651162790697675
51.162790697674424,44.18604651162791,4.651162790697675
51.162790697674424,44.18604651162791,4.651162790697675
9.859154929577464,90.14084507042254,0.0
65.78137686423658,25.680526473227637,8.53809666253579
48.15766923736076,48.41473864610112,3.4275921165381322
9.859154929577464,90.14084507042254,0.0
44.44444444444444,52.77777777777778,2.7777777777777777
72.81889784272836,16.64264637467101,10.538455782600634
72.52536976991627,18.25572055193181,9.218909678151928
50.96942580164057,44.817300521998504,4.213273676360925
29.411764705882355,63.18082788671025,7.4074074074074066
30.30973451327434,62.38938053097345,7.300884955752212
39.25619834710744,45.867768595041326,14.87603305785124
51.05151456685317,44.317962569940185,4.630522863206637
60.384730988878864,33.66396152690111,5.951307484220019
67.10469810186378,26.016204300151735,6.879097597984483
67.68241175844872,25.433464525050532,6.884123716500748
58.333333333333336,16.666666666666664,25.0
3.853736089030207,96.12294647588764,0.023317435082140965
58.333333333333336,16.666666666666664,25.0
66.9293554742471,26.141289051505765,6.929355474247115
61.88340807174888,31.84431413130965,6.272277796941474
44.44444444444444,52.77777777777778,2.7777777777777777
64.36128941242858,29.868801580023984,5.769909007547436
44.77739726027397,52.3972602739726,2.8253424657534243
44.44444444444444,52.77777777777778,2.7777777777777777
64.60868594395444,29.434458462034662,5.956855594010892
52.409143233020885,42.77257030093734,4.818286466041769
58.333333333333336,16.666666666666664,25.0
47.50925877627667,39.403265348703776,13.08747587501956
9.859154929577464,90.14084507042254,0.0
58.333333333333336,16.666666666666664,25.0
94.55899464742843,4.882476146148473,0.5585292064230859
54.628745115067304,33.838471558836304,11.532783326096396
57.79334500875657,34.85113835376532,7.355516637478108
53.07017543859649,39.03508771929825,7.894736842105263
51.162790697674424,44.18604651162791,4.651162790697675
51.05140186915887,36.52498202731847,12.423616103522646
49.79009235936188,46.14609571788413,4.063811922753988
42.71844660194174,47.57281553398058,9.70873786407767
41.72185430463576,48.34437086092716,9.933774834437086
46.13807245386193,43.403964456596036,10.457963089542037
51.162790697674424,44.18604651162791,4.651162790697675
51.162790697674424,44.18604651162791,4.651162790697675
47.67348683156151,39.21683850633046,13.109674662108016
47.593243788551334,39.343978785957226,13.06277742549144
51.162790697674424,44.18604651162791,4.651162790697675
16.41965678627145,83.50234009360375,0.078003120124805
54.394224733207786,37.9472693032015,7.6585059635907085
44.44444444444444,52.77777777777778,2.7777777777777777
41.71650717703349,43.480861244019145,14.802631578947366
40.0,50.588235294117645,9.411764705882353
9.859154929577464,90.14084507042254,0.0
39.18112027295991,47.758506302720114,13.060373424319971
56.0840598898545,28.07301716973957,15.842922940405932
9.859154929577464,90.14084507042254,0.0
29.854096520763186,62.40179573512907,7.744107744107744
44.44444444444444,52.77777777777778,2.7777777777777777
47.729677972080836,39.30353273194578,12.966789295973392
52.99684542586751,41.9558359621451,5.047318611987381
52.1870286576169,43.6902966314731,4.122674710910005
49.65362291705674,46.451975285527055,3.8944017974162146
51.162790697674424,44.18604651162791,4.651162790697675
35.55555555555556,53.333333333333336,11.11111111111111
51.20226308345121,44.0695089917155,4.728227924833299
